ItemID,UPC,BasePrice,IMAP,BHG Brand Name,Status,Description,Notes,Image URL,Title
G LPE4053CZ,31902988233,$249.00,$498.00,Landstrom's NEW SPRING 2025 ,MADE TO ORDER 30-35 business days,,MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g lp4053cz_lg.jpg,Black Hills Gold 10K yellow gold bypass necklace with left bypass accented with 9 graduated czs and right bypass accented with 5 pink & green 12K gold leaves.  Complimentary gold filled split rope chain included.  
G LER4049,31902988356,$230.00,$460.00,Landstrom's NEW SPRING 2025 ,MADE TO ORDER 30-35 business days,,MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g ler4049_lg.jpg,Black Hills Gold 10K yellow gold half hoop wire framed earrings accented with 3 pink & green 12K leaves.  14K yellow post and ear back.
G LPE4048CZ,31902988301,$184.00,$368.00,Landstrom's NEW SPRING 2025 ,MADE TO ORDER 30-35 business days,,MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g lpe4048cz_lg.jpg,"Black Hills Gold 10K yellow gold paper clip pendant accented with 2.5mm CZ and connected with 12K pink & green 12K leaf link.  18"" complimentary gold filled rope chain included. "
G LPE4051CZ,31902988363,$309.00,$618.00,Landstrom's NEW SPRING 2025 ,MADE TO ORDER 30-35 business days,,MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g lpe4051cz_lg.jpg,"Black Hills Gold 10K yellow gold Alahambra pendant accented with 32 cz's set around the 12K pink & green 12K leaves in the center.  18"" complimentary gold filled chain included."
MRLPE4051CZ,31902988370,$139.00,$278.00,Landstrom's NEW SPRING 2025 ,MADE TO ORDER 30-35 business days,,MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/mrlpe4051cz_lg.jpg,"Black Hills Gold rhodium plated Sterling Silver  Alahambra pendant accented with 32 czs set around the 12K pink & green 12K leaves in the center.  18"" complimentary rhodium plated sterling silver chain included."
G LPE4052,31902988226,$195.00,$390.00,Landstrom's NEW SPRING 2025 ,MADE TO ORDER 30-35 business days,,MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g lpe4052_lg.jpg,"Black Hills Gold 10K yellow gold Alahambra pendant accented with 8 pink & green 12K leaves.  18"" complimentary gold filled chain included."
MRLPE4052,31902988257,$75.00,$150.00,Landstrom's NEW SPRING 2025 ,MADE TO ORDER 30-35 business days,,MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/mrlpe4052_lg.jpg,"Black Hills Gold rhodium plated Sterling Silver  Alahambra pendant accented with 8 pink & green 12K leaves.  18"" complimentary rhodium plated sterling silver chain included."
G LER4052,31902988240,$250.00,$500.00,Landstrom's NEW SPRING 2025 ,MADE TO ORDER 30-35 business days,,MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g ler4052_lg.jpg,Black Hills Gold 10K yellow gold Alahambra leverback earrings accented with 8 pink & green 12K leaves on each.  14KY gold plated leverbacks.
MRLER4052,31902988264,$94.00,$188.00,Landstrom's NEW SPRING 2025 ,MADE TO ORDER 30-35 business days,,MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/mrler4052_lg.jpg,"Black Hills Gold rhodium plated Sterling Silver  Alahambra pendant accented with 8 pink & green 12K leaves.  18"" complimentary rhodium plated sterling silver chain included."
MRLPE4044,31902987748,$61.00,$122.00,Landstrom's NEW SPRING 2025 ,MADE TO ORDER 30-35 business days,,MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/mrlpe4044_lg.jpg,"Black Hills Gold rhodium plated Sterling Silver double circles linked and accented with 12K pink & green leaves.  18"" complimentary rhodium plated sterling silver split chain included."
G L01276,31902123528,$124.00,$248.00,Landstrom's Original Black Hills Gold,MADE TO ORDER 30-35 business days," 10K Gold Grapes and Vine with 12K Green and Rose Gold Leaves, and 2-2.5MM White Pearl",MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g l01276_lg.jpg,Black Hills Gold Post Earrings
G L01277,31902123733,$139.00,$278.00,Landstrom's Original Black Hills Gold,FAST TRACK 3-8 business days," 10K Gold Grapes and Vive with 12K Green and Rose Gold Leaves, and .04cttw Diamonds",We strive to keep our FAST TRACK items in stock and in production for shipment within 3-8 working days!  ,https://repziocdn.global.ssl.fastly.net/productimages/2214/g l01277_lg.jpg,Black Hills Gold Post Earrings
G L01282,31902123559,$88.00,$176.00,Landstrom's Original Black Hills Gold,MADE TO ORDER 30-35 business days," 10K Gold Open Heart, Grapes and Vine with 12K Green and Rose Gold Leaves, and 2-2.5MM White Pearl",MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g l01282_lg.jpg,Black Hills Gold Post Earrings
G L01283,31902123382,$111.00,$222.00,Landstrom's Original Black Hills Gold,MADE TO ORDER 30-35 business days," 10K Gold Open Heart, Grapes and Vine with 12K Green and Rose Gold Leaves, and .04cttw Diamonds",MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g l01283_lg.jpg,Black Hills Gold Post Earrings
G L01287,31902123290,$331.00,$662.00,Landstrom's Original Black Hills Gold,MADE TO ORDER 30-35 business days," 10K Gold Grapes with 12K Green and Rose Gold Leaves, Leaf Post with Flower Dangle",MADE TO ORDER so please anticipate 30-35 business days for delivery on this item.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g l01287_lg.jpg,Black Hills Gold Post Earrings
G L01294,31902123818,$215.00,$430.00,Landstrom's Original Black Hills Gold,STANDARD STOCK 10-15 business days, 10K Gold Grapes and Vine with 12K Green and Rose Gold Leaves,Our STANDARD STOCK items may take up to 10-15 working days for production.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g l01294_lg.jpg,Black Hills Gold Fish Hook Earrings
G L01300,31902129827,$134.00,$268.00,Landstrom's Original Black Hills Gold,STANDARD STOCK 10-15 business days, 10K Gold Cross and Grapes with 12K Green and Rose Gold Leaves,Our STANDARD STOCK items may take up to 10-15 working days for production.  Visit our FAST TRACK category for our BEST SELLERS that are available for shipment within 3-8 days.,https://repziocdn.global.ssl.fastly.net/productimages/2214/g l01300_lg.jpg,Black Hills Gold Post Earrings
